Abroscopus albogularis,Rufous-faced Warbler
Chroicocephalus maculipennis,Brown-hooded Gull
Chroicocephalus novaehollandiae,Silver Gull
Chroicocephalus philadelphia,Bonaparte's Gull
Chroicocephalus ridibundus,Black-headed Gull
Chroicocephalus serranus,Andean Gull
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo
Chrysococcyx caprius,Dideric Cuckoo
Chrysococcyx cupreus,African Emerald Cuckoo
Chrysococcyx klaas,Klaas's Cuckoo
Chrysococcyx lucidus,Shining Bronze-Cuckoo
Chrysococcyx minutillus,Little Bronze-Cuckoo
Chrysocolaptes festivus,White-naped Woodpecker
Chrysocolaptes guttacristatus,Greater Flameback
Chrysolophus pictus,Golden Pheasant
Chrysomma sinense,Yellow-eyed Babbler
Chrysomus icterocephalus,Yellow-hooded Blackbird
Chrysomus ruficapillus,Chestnut-capped Blackbird
Chrysophlegma flavinucha,Greater Yellownape
Chrysuronia oenone,Golden-tailed Sapphire
Ciccaba albitarsis,Rufous-banded Owl
Ciccaba huhula,Black-banded Owl
Ciccaba nigrolineata,Black-and-white Owl
Ciccaba virgata,Mottled Owl
Cichladusa guttata,Spotted Morning-Thrush
Cichlocolaptes leucophrus,Pale-browed Treehunter
Ciconia ciconia,White Stork
Cinclodes fuscus,Buff-winged Cinclodes
Cincloramphus mathewsi,Rufous Songlark
Cincloramphus timoriensis,Tawny Grassbird
Cinclosoma punctatum,Spotted Quail-thrush
Cinclus cinclus,White-throated Dipper
Cinclus mexicanus,American Dipper
Cinclus pallasii,Brown Dipper
Cinnycerthia olivascens,Sharpe's Wren
Cinnycerthia unirufa,Rufous Wren
Cinnyricinclus leucogaster,Violet-backed Starling
Cinnyris afer,Greater Double-collared Sunbird
Cinnyris asiaticus,Purple Sunbird
Cinnyris chalybeus,Southern Double-collared Sunbird
Cinnyris chloropygius,Olive-bellied Sunbird
Cinnyris jugularis,Olive-backed Sunbird
Cinnyris lotenius,Loten's Sunbird
Cinnyris mariquensis,Mariqua Sunbird
Cinnyris sovimanga,Souimanga Sunbird
Cinnyris talatala,White-breasted Sunbird
Cinnyris venustus,Variable Sunbird
Circaetus gallicus,Short-toed Snake-Eagle
Circus aeruginosus,Eurasian Marsh-Harrier
Circus hudsonius,Northern Harrier
Circus pygargus,Montagu's Harrier
Cissa chinensis,Common Green-Magpie
Cissopis leverianus,Magpie Tanager
Cisticola aberrans,Rock-loving Cisticola
Cisticola brachypterus,Siffling Cisticola
Cisticola cantans,Singing Cisticola
Cisticola chiniana,Rattling Cisticola
Cisticola erythrops,Red-faced Cisticola
Cisticola exilis,Golden-headed Cisticola
Cisticola fulvicapilla,Piping Cisticola
Cisticola juncidis,Zitting Cisticola
Cisticola lais,Wailing Cisticola
Cisticola lateralis,Whistling Cisticola
Cisticola marginatus,Winding Cisticola
Cisticola natalensis,Croaking Cisticola
Cisticola tinniens,Levaillant's Cisticola
Cisticola woosnami,Trilling Cisticola
Cistothorus apolinari,Apolinar's Wren
Cistothorus palustris,Marsh Wren
Cistothorus platensis,Grass Wren
Cistothorus stellaris,Sedge Wren
Clamator coromandus,Chestnut-winged Cuckoo
Clamator glandarius,Great Spotted Cuckoo
Clamator jacobinus,Pied Cuckoo
Clamator levaillantii,Levaillant's Cuckoo
Clangula hyemalis,Long-tailed Duck
Claravis pretiosa,Blue Ground Dove
Clibanornis rectirostris,Chestnut-capped Foliage-gleaner
Clibanornis rubiginosus,Ruddy Foliage-gleaner
Cnemotriccus fuscatus,Fuscous Flycatcher
Cnipodectes subbrunneus,Brownish Twistwing
Coccothraustes abeillei,Hooded Grosbeak
Coccothraustes coccothraustes,Hawfinch
Coccothraustes vespertinus,Evening Grosbeak
Coccycua minuta,Little Cuckoo
Coccyzus americanus,Yellow-billed Cuckoo
Coccyzus erythropthalmus,Black-billed Cuckoo
Coccyzus melacoryphus,Dark-billed Cuckoo
Coccyzus minor,Mangrove Cuckoo
Cochlearius cochlearius,Boat-billed Heron
Coereba flaveola,Bananaquit
Colaptes auratus,Northern Flicker
Colaptes campestris,Campo Flicker
Colaptes chrysoides,Gilded Flicker
Colaptes melanochloros,Green-barred Woodpecker
Colaptes pitius,Chilean Flicker
Colaptes punctigula,Spot-breasted Woodpecker
Colaptes rivolii,Crimson-mantled Woodpecker
Colaptes rubiginosus,Golden-olive Woodpecker
Colaptes rupicola,Andean Flicker
Colibri coruscans,Sparkling Violetear
Colibri cyanotus,Lesser Violetear
Colibri delphinae,Brown Violetear
Colibri serrirostris,White-vented Violetear
Colibri thalassinus,Mexican Violetear
Colinus cristatus,Crested Bobwhite
Colinus virginianus,Northern Bobwhite
Colius striatus,Speckled Mousebird
Colluricincla harmonica,Gray Shrikethrush
Colluricincla megarhyncha,Arafura Shrikethrush
Colonia colonus,Long-tailed Tyrant
Colorhamphus parvirostris,Patagonian Tyrant
Columba guinea,Speckled Pigeon
Columba livia,Rock Pigeon
Columba oenas,Stock Dove
Columba palumbus,Common Wood-Pigeon
Columbina cruziana,Croaking Ground Dove
Columbina inca,Inca Dove
Columbina minuta,Plain-breasted Ground Dove
Columbina passerina,Common Ground Dove
Columbina picui,Picui Ground Dove
Columbina squammata,Scaled Dove
Columbina talpacoti,Ruddy Ground Dove
Conirostrum bicolor,Bicolored Conebill
Conirostrum cinereum,Cinereous Conebill
Conirostrum sitticolor,Blue-backed Conebill
Conirostrum speciosum,Chestnut-vented Conebill
Conocephalus brevipennis,Short-winged Meadow Katydid
Conocephalus fasciatus,Slender Meadow Katydid
Conopias cinchoneti,Lemon-browed Flycatcher
Conopias parvus,Yellow-throated Flycatcher
Conopias trivirgatus,Three-striped Flycatcher
Conopophaga castaneiceps,Chestnut-crowned Gnateater
Conopophaga lineata,Rufous Gnateater
Conopophaga melanops,Black-cheeked Gnateater
Contopus cinereus,Tropical Pewee
Contopus cooperi,Olive-sided Flycatcher
Contopus fumigatus,Smoke-colored Pewee
Contopus pertinax,Greater Pewee
Contopus sordidulus,Western Wood-Pewee
Contopus virens,Eastern Wood-Pewee
Copsychus albospecularis,Madagascar Magpie-Robin
Copsychus fulicatus,Indian Robin
Copsychus malabaricus,White-rumped Shama
Copsychus saularis,Oriental Magpie-Robin
Coracias benghalensis,Indian Roller
Coracias garrulus,European Roller
Coracina macei,Large Cuckooshrike
Coracina novaehollandiae,Black-faced Cuckooshrike
Coracina papuensis,White-bellied Cuckooshrike
Coragyps atratus,Black Vulture
Corapipo altera,White-ruffed Manakin
Corcorax melanorhamphos,White-winged Chough
Cormobates leucophaea,White-throated Treecreeper
Corthylio calendula,Ruby-crowned Kinglet
Corvus albicollis,White-necked Raven
Corvus albus,Pied Crow
Corvus brachyrhynchos,American Crow
Corvus capensis,Cape Crow
Corvus corax,Common Raven
Corvus cornix,Hooded Crow
Corvus corone,Carrion Crow
Corvus coronoides,Australian Raven
Corvus cryptoleucus,Chihuahuan Raven
Corvus enca,Slender-billed Crow
Corvus frugilegus,Rook
Corvus hawaiiensis,Hawaiian Crow
Corvus macrorhynchos,Large-billed Crow
Corvus mellori,Little Raven
Corvus monedula,Eurasian Jackdaw
Corvus orru,Torresian Crow
Corvus ossifragus,Fish Crow
Corvus splendens,House Crow
Corvus tasmanicus,Forest Raven
Coryphospingus cucullatus,Red-crested Finch
Coryphospingus pileatus,Pileated Finch
Corythaeola cristata,Great Blue Turaco
Corythaixoides leucogaster,White-bellied Go-away-bird
Corythopis delalandi,Southern Antpipit
Corythopis torquatus,Ringed Antpipit
Cossypha caffra,Cape Robin-Chat
Cossypha heuglini,White-browed Robin-Chat
Cossypha humeralis,White-throated Robin-Chat
Cossypha natalensis,Red-capped Robin-Chat
Cossypha semirufa,Rüppell's Robin-Chat
Coturnicops noveboracensis,Yellow Rail
Coturnix coromandelica,Rain Quail
Coturnix coturnix,Common Quail
Coturnix japonica,Japanese Quail
Cracticus nigrogularis,Pied Butcherbird
Cracticus quoyi,Black Butcherbird
Cracticus torquatus,Gray Butcherbird
Cranioleuca albicapilla,Creamy-crested Spinetail
Cranioleuca antisiensis,Line-cheeked Spinetail
Cranioleuca curtata,Ash-browed Spinetail
Cranioleuca erythrops,Red-faced Spinetail
Cranioleuca gutturata,Speckled Spinetail
Cranioleuca hellmayri,Streak-capped Spinetail
Cranioleuca obsoleta,Olive Spinetail
Cranioleuca pallida,Pallid Spinetail
Cranioleuca pyrrhophia,Stripe-crowned Spinetail
Cranioleuca subcristata,Crested Spinetail
Cranioleuca vulpina,Rusty-backed Spinetail
Crateroscelis murina,Rusty Mouse-Warbler
Crateroscelis robusta,Mountain Mouse-Warbler
Crax fasciolata,Bare-faced Curassow
Crax rubra,Great Curassow
Creatophora cinerea,Wattled Starling
Crex crex,Corn Crake
Criniger calurus,Red-tailed Greenbul
Crithagra gularis,Streaky-headed Seedeater
Crithagra mozambica,Yellow-fronted Canary
Crithagra striolata,Streaky Seedeater
Crotophaga ani,Smooth-billed Ani
Crotophaga major,Greater Ani
Crotophaga sulcirostris,Groove-billed Ani
Cryptopezus nattereri,Speckle-breasted Antpitta
Crypturellus boucardi,Slaty-breasted Tinamou
Crypturellus cinereus,Cinereous Tinamou
Crypturellus cinnamomeus,Thicket Tinamou
Crypturellus obsoletus,Brown Tinamou
Crypturellus parvirostris,Small-billed Tinamou
Crypturellus soui,Little Tinamou
Crypturellus strigulosus,Brazilian Tinamou
Crypturellus tataupa,Tataupa Tinamou
Crypturellus undulatus,Undulated Tinamou
Crypturellus variegatus,Variegated Tinamou
Cuculus canorus,Common Cuckoo
Cuculus clamosus,Black Cuckoo
Cuculus lepidus,Sunda Cuckoo
Cuculus micropterus,Indian Cuckoo
Cuculus optatus,Oriental Cuckoo
Cuculus poliocephalus,Lesser Cuckoo
Cuculus saturatus,Himalayan Cuckoo
Cuculus solitarius,Red-chested Cuckoo
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher
Culicivora caudacuta,Sharp-tailed Tyrant
Curaeus curaeus,Austral Blackbird
Curruca communis,Greater Whitethroat
Curruca curruca,Lesser Whitethroat
Curruca hortensis,Western Orphean Warbler
Curruca iberiae,Western Subalpine Warbler
Curruca melanocephala,Sardinian Warbler
Curruca nisoria,Barred Warbler
Curruca undata,Dartford Warbler
Cyanerpes cyaneus,Red-legged Honeycreeper
Cyanistes caeruleus,Eurasian Blue Tit
Cyanistes cyanus,Azure Tit
Cyanistes teneriffae,African Blue Tit
Cyanocitta cristata,Blue Jay
Cyanocitta stelleri,Steller's Jay
Cyanocompsa parellina,Blue Bunting
Cyanocorax affinis,Black-chested Jay
Cyanocorax caeruleus,Azure Jay
Cyanocorax cayanus,Cayenne Jay
Cyanocorax chrysops,Plush-crested Jay
Cyanocorax cristatellus,Curl-crested Jay
Cyanocorax cyanomelas,Purplish Jay
Cyanocorax cyanopogon,White-naped Jay
Cyanocorax melanocyaneus,Bushy-crested Jay
Cyanocorax mystacalis,White-tailed Jay
Cyanocorax violaceus,Violaceous Jay
Cyanocorax yncas,Green Jay
Cyanocorax yucatanicus,Yucatan Jay
Cyanoderma chrysaeum,Golden Babbler
Cyanoderma erythropterum,Chestnut-winged Babbler
Cyanoderma ruficeps,Rufous-capped Babbler
Cyanoderma rufifrons,Rufous-fronted Babbler
Cyanoliseus patagonus,Burrowing Parakeet
Cyanoloxia brissonii,Ultramarine Grosbeak
Cyanoloxia cyanoides,Blue-black Grosbeak
Cyanoloxia rothschildii,Amazonian Grosbeak
Cyanolyca armillata,Black-collared Jay
Cyanolyca cucullata,Azure-hooded Jay
Cyanolyca pulchra,Beautiful Jay
Cyanolyca turcosa,Turquoise Jay
Cyanolyca viridicyanus,White-collared Jay
Cyanomitra olivacea,Olive Sunbird
Cyanomitra veroxii,Mouse-colored Sunbird
Cyanopica cooki,Iberian Magpie
Cyanopica cyanus,Azure-winged Magpie
Cyanoptila cyanomelana,Blue-and-white Flycatcher
Cyclarhis gujanensis,Rufous-browed Peppershrike
Cyclarhis nigrirostris,Black-billed Peppershrike
Cygnus atratus,Black Swan
Cygnus buccinator,Trumpeter Swan
Cygnus columbianus,Tundra Swan
Cygnus cygnus,Whooper Swan
Cygnus olor,Mute Swan
Cymbilaimus lineatus,Fasciated Antshrike
Cymbilaimus sanctaemariae,Bamboo Antshrike
Cynanthus latirostris,Broad-billed Hummingbird
Cyornis hainanus,Hainan Blue Flycatcher
Cyornis rubeculoides,Blue-throated Flycatcher
Cyornis rufigastra,Mangrove Blue Flycatcher
Cyornis tickelliae,Tickell's Blue Flycatcher
Cyornis unicolor,Pale Blue Flycatcher
Cyphorhinus arada,Musician Wren
Cyphorhinus phaeocephalus,Song Wren
Cyphorhinus thoracicus,Chestnut-breasted Wren
Cypsiurus balasiensis,Asian Palm-Swift
Cypsnagra hirundinacea,White-rumped Tanager
Cyrtonyx montezumae,Montezuma Quail
Cyrtoxipha columbiana,Columbian Trig
Dacelo leachii,Blue-winged Kookaburra
Dacelo novaeguineae,Laughing Kookaburra
Dacnis cayana,Blue Dacnis
Dactylortyx thoracicus,Singing Quail
Daptrius ater,Black Caracara
Deconychura longicauda,Long-tailed Woodcreeper
Delichon urbicum,Common House-Martin
Dendragapus fuliginosus,Sooty Grouse
Dendragapus obscurus,Dusky Grouse
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper
Dendrocincla anabatina,Tawny-winged Woodcreeper
Dendrocincla fuliginosa,Plain-brown Woodcreeper
Dendrocincla turdina,Plain-winged Woodcreeper
Dendrocincla tyrannina,Tyrannine Woodcreeper
Dendrocitta formosae,Gray Treepie
Dendrocitta leucogastra,White-bellied Treepie
Dendrocitta vagabunda,Rufous Treepie
Dendrocolaptes certhia,Amazonian Barred-Woodcreeper
Dendrocolaptes picumnus,Black-banded Woodcreeper
Dendrocolaptes platyrostris,Planalto Woodcreeper
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper
Dendrocopos leucotos,White-backed Woodpecker
Dendrocopos major,Great Spotted Woodpecker
Dendrocopos syriacus,Syrian Woodpecker
Dendrocoptes medius,Middle Spotted Woodpecker
Dendrocygna autumnalis,Black-bellied Whistling-Duck
Dendrocygna bicolor,Fulvous Whistling-Duck
Dendrocygna javanica,Lesser Whistling-Duck
Dendrocygna viduata,White-faced Whistling-Duck
Dendroma rufa,Buff-fronted Foliage-gleaner
Dendroplex picus,Straight-billed Woodcreeper
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge
Dendrortyx macroura,Long-tailed Wood-Partridge
Deroptyus accipitrinus,Red-fan Parrot
Dicaeum concolor,Nilgiri Flowerpecker
Dicaeum cruentatum,Scarlet-backed Flowerpecker
Dicaeum erythrorhynchos,Pale-billed Flowerpecker
Dicaeum hirundinaceum,Mistletoebird
Dicaeum ignipectus,Fire-breasted Flowerpecker
Dicaeum minullum,Plain Flowerpecker
Dicaeum trigonostigma,Orange-bellied Flowerpecker
Dicrurus adsimilis,Fork-tailed Drongo
Dicrurus aeneus,Bronzed Drongo
Dicrurus bracteatus,Spangled Drongo
Dicrurus caerulescens,White-bellied Drongo
Dicrurus forficatus,Crested Drongo
Dicrurus hottentottus,Hair-crested Drongo
Dicrurus leucophaeus,Ashy Drongo
Dicrurus ludwigii,Common Square-tailed Drongo
Dicrurus macrocercus,Black Drongo
Dicrurus paradiseus,Greater Racket-tailed Drongo
Dicrurus remifer,Lesser Racket-tailed Drongo
Diglossa albilatera,White-sided Flowerpiercer
Diglossa baritula,Cinnamon-bellied Flowerpiercer
Diglossa caerulescens,Bluish Flowerpiercer
Diglossa cyanea,Masked Flowerpiercer
Diglossa humeralis,Black Flowerpiercer
Diglossa lafresnayii,Glossy Flowerpiercer
Dinopium benghalense,Black-rumped Flameback
Diopsittaca nobilis,Red-shouldered Macaw
Diuca diuca,Diuca Finch
Dives dives,Melodious Blackbird
Dives warczewiczi,Scrub Blackbird
Dog,Dog
Dolichonyx oryzivorus,Bobolink
Donacobius atricapilla,Black-capped Donacobius
Donacospiza albifrons,Long-tailed Reed Finch
Drepanis coccinea,Iiwi
Dromococcyx pavoninus,Pavonine Cuckoo
Dromococcyx phasianellus,Pheasant Cuckoo
Drymophila devillei,Striated Antbird
Drymophila ferruginea,Ferruginous Antbird
Drymophila genei,Rufous-tailed Antbird
Drymophila malura,Dusky-tailed Antbird
Drymophila ochropyga,Ochre-rumped Antbird
Drymophila rubricollis,Bertoni's Antbird
Drymophila squamata,Scaled Antbird
Drymophila striaticeps,Streak-headed Antbird
Drymornis bridgesii,Scimitar-billed Woodcreeper
Dryobates affinis,Red-stained Woodpecker
Dryobates albolarvatus,White-headed Woodpecker
Dryobates arizonae,Arizona Woodpecker
Dryobates borealis,Red-cockaded Woodpecker
Dryobates fumigatus,Smoky-brown Woodpecker
Dryobates lignarius,Striped Woodpecker
Dryobates minor,Lesser Spotted Woodpecker
Dryobates mixtus,Checkered Woodpecker
Dryobates nuttallii,Nuttall's Woodpecker
Dryobates passerinus,Little Woodpecker
Dryobates pubescens,Downy Woodpecker
Dryobates scalaris,Ladder-backed Woodpecker
Dryobates spilogaster,White-spotted Woodpecker
Dryobates villosus,Hairy Woodpecker
Dryocopus javensis,White-bellied Woodpecker
Dryocopus lineatus,Lineated Woodpecker
Dryocopus martius,Black Woodpecker
Dryocopus pileatus,Pileated Woodpecker
Dryophytes andersonii,Pine Barrens Treefrog
Dryophytes arenicolor,Canyon Treefrog
Dryophytes avivoca,Bird-voiced Treefrog
Dryophytes chrysoscelis,Cope's Gray Treefrog
Dryophytes cinereus,Green Treefrog
Dryophytes femoralis,Pine Woods Treefrog
Dryophytes gratiosus,Barking Treefrog
Dryophytes squirellus,Squirrel Treefrog
Dryophytes versicolor,Gray Treefrog
Dryoscopus cubla,Black-backed Puffback
Dubusia taeniata,Buff-breasted Mountain Tanager
Ducula aenea,Green Imperial-Pigeon
Ducula badia,Mountain Imperial-Pigeon
Dumetella carolinensis,Gray Catbird
Dumetia hyperythra,Tawny-bellied Babbler
Dysithamnus mentalis,Plain Antvireo
Dysithamnus puncticeps,Spot-crowned Antvireo
Dysithamnus stictothorax,Spot-breasted Antvireo
Eclectus roratus,Eclectus Parrot
Edolisoma tenuirostre,Common Cicadabird
Egretta caerulea,Little Blue Heron
Egretta garzetta,Little Egret
Egretta thula,Snowy Egret
Egretta tricolor,Tricolored Heron
Elaenia albiceps,White-crested Elaenia
Elaenia chiriquensis,Lesser Elaenia
Elaenia cristata,Plain-crested Elaenia
Elaenia flavogaster,Yellow-bellied Elaenia
Elaenia frantzii,Mountain Elaenia
Elaenia martinica,Caribbean Elaenia
Elaenia mesoleuca,Olivaceous Elaenia
Elaenia obscura,Highland Elaenia
Elaenia pallatangae,Sierran Elaenia
Elaenia parvirostris,Small-billed Elaenia
Elaenia spectabilis,Large Elaenia
Elanoides forficatus,Swallow-tailed Kite
Elanus caeruleus,Black-winged Kite
Elanus leucurus,White-tailed Kite
Electron platyrhynchum,Broad-billed Motmot
Eleoscytalopus indigoticus,White-breasted Tapaculo
Eleutherodactylus planirostris,Greenhouse Frog
Elliotomyia chionogaster,White-bellied Hummingbird
Elminia albonotata,White-tailed Crested-Flycatcher
Emberiza calandra,Corn Bunting
Emberiza capensis,Cape Bunting
Emberiza chrysophrys,Yellow-browed Bunting
Emberiza cia,Rock Bunting
Emberiza cioides,Meadow Bunting
Emberiza cirlus,Cirl Bunting
Emberiza citrinella,Yellowhammer
Emberiza elegans,Yellow-throated Bunting
Emberiza flaviventris,Golden-breasted Bunting
Emberiza hortulana,Ortolan Bunting
Emberiza leucocephalos,Pine Bunting
Emberiza melanocephala,Black-headed Bunting
Emberiza pusilla,Little Bunting
Emberiza rustica,Rustic Bunting
Emberiza schoeniclus,Reed Bunting
Emberiza spodocephala,Black-faced Bunting
Emberiza sulphurata,Yellow Bunting
Emberiza tahapisi,Cinnamon-breasted Bunting
Emberizoides herbicola,Wedge-tailed Grass-Finch
Emberizoides ypiranganus,Lesser Grass-Finch
Embernagra platensis,Great Pampa-Finch
Eminia lepida,Gray-capped Warbler
Empidonax affinis,Pine Flycatcher
Empidonax alnorum,Alder Flycatcher
Empidonax difficilis,Pacific-slope Flycatcher
Empidonax flavescens,Yellowish Flycatcher
Empidonax flaviventris,Yellow-bellied Flycatcher
Empidonax fulvifrons,Buff-breasted Flycatcher
Empidonax hammondii,Hammond's Flycatcher
Empidonax minimus,Least Flycatcher
Empidonax oberholseri,Dusky Flycatcher
Empidonax occidentalis,Cordilleran Flycatcher
Empidonax traillii,Willow Flycatcher
Empidonax virescens,Acadian Flycatcher
Empidonax wrightii,Gray Flycatcher
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher
Empidonomus varius,Variegated Flycatcher
Engine,Engine
Enicognathus ferrugineus,Austral Parakeet
Enicurus leschenaulti,White-crowned Forktail
Entomodestes leucotis,White-eared Solitaire
Entomyzon cyanotis,Blue-faced Honeyeater
Environmental,Environmental
Eolophus roseicapilla,Galah
Eophona migratoria,Yellow-billed Grosbeak
Eopsaltria australis,Eastern Yellow Robin
Epinecrophylla fulviventris,Checker-throated Stipplethroat
Epinecrophylla leucophthalma,White-eyed Stipplethroat
Epinecrophylla ornata,Ornate Stipplethroat
Eremophila alpestris,Horned Lark
Eremopterix griseus,Ashy-crowned Sparrow-Lark
Erithacus rubecula,European Robin
Erpornis zantholeuca,White-bellied Erpornis
Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler
Erythrogenys erythrogenys,Rusty-cheeked Scimitar-Babbler
Erythropitta ussheri,Black-crowned Pitta
Estrilda astrild,Common Waxbill
Eubucco bourcierii,Red-headed Barbet
Eubucco richardsoni,Lemon-throated Barbet
Eucometis penicillata,Gray-headed Tanager
Eudocimus albus,White Ibis
Eudynamys orientalis,Pacific Koel
Eudynamys scolopaceus,Asian Koel
Eugenes fulgens,Rivoli's Hummingbird
Eugralla paradoxa,Ochre-flanked Tapaculo
Eumomota superciliosa,Turquoise-browed Motmot
Eumyias thalassinus,Verditer Flycatcher
Eunemobius carolinus,Carolina Ground Cricket
Eunemobius confusus,Confused Ground Cricket
Euodice cantans,African Silverbill
Euodice malabarica,Indian Silverbill
Eupetomena macroura,Swallow-tailed Hummingbird
Euphagus carolinus,Rusty Blackbird
Euphagus cyanocephalus,Brewer's Blackbird
Euphonia affinis,Scrub Euphonia
Euphonia chlorotica,Purple-throated Euphonia
Euphonia chrysopasta,Golden-bellied Euphonia
Euphonia gouldi,Olive-backed Euphonia
Euphonia hirundinacea,Yellow-throated Euphonia
Euphonia laniirostris,Thick-billed Euphonia
Euphonia mesochrysa,Bronze-green Euphonia
Euphonia minuta,White-vented Euphonia
Euphonia pectoralis,Chestnut-bellied Euphonia
Euphonia rufiventris,Rufous-bellied Euphonia
Euphonia trinitatis,Trinidad Euphonia
Euphonia violacea,Violaceous Euphonia
Euphonia xanthogaster,Orange-bellied Euphonia
Euplectes orix,Southern Red Bishop
Eupsittula aurea,Peach-fronted Parakeet
Eupsittula canicularis,Orange-fronted Parakeet
Eupsittula nana,Olive-throated Parakeet
Eupsittula pertinax,Brown-throated Parakeet
Euptilotis neoxenus,Eared Quetzal
Eurillas latirostris,Yellow-whiskered Greenbul
Eurillas virens,Little Greenbul
Eurylaimus ochromalus,Black-and-yellow Broadbill
Eurypyga helias,Sunbittern
Eurystomus glaucurus,Broad-billed Roller
Eurystomus orientalis,Dollarbird
Euscarthmus fulviceps,Fulvous-headed Pygmy-Tyrant
Euscarthmus meloryphus,Rufous-crowned Pygmy-Tyrant
Falco columbarius,Merlin
Falco femoralis,Aplomado Falcon
Falco naumanni,Lesser Kestrel
Falco peregrinus,Peregrine Falcon
Falco rufigularis,Bat Falcon
Falco sparverius,American Kestrel
Falco subbuteo,Eurasian Hobby
Falco tinnunculus,Eurasian Kestrel
Ficedula albicilla,Taiga Flycatcher
Ficedula albicollis,Collared Flycatcher
Ficedula hyperythra,Snowy-browed Flycatcher
Ficedula hypoleuca,European Pied Flycatcher
Ficedula mugimaki,Mugimaki Flycatcher
Ficedula narcissina,Narcissus Flycatcher
Ficedula parva,Red-breasted Flycatcher
Ficedula superciliaris,Ultramarine Flycatcher
Ficedula tricolor,Slaty-blue Flycatcher
Ficedula westermanni,Little Pied Flycatcher
Ficedula zanthopygia,Yellow-rumped Flycatcher
Fireworks,Fireworks
Florisuga mellivora,White-necked Jacobin
Fluvicola nengeta,Masked Water-Tyrant
Formicarius analis,Black-faced Antthrush
Formicarius colma,Rufous-capped Antthrush
Formicarius moniliger,Mayan Antthrush
Formicarius nigricapillus,Black-headed Antthrush
Formicarius rufipectus,Rufous-breasted Antthrush
Formicivora grisea,White-fringed Antwren
Formicivora melanogaster,Black-bellied Antwren
Formicivora rufa,Rusty-backed Antwren
Forpus coelestis,Pacific Parrotlet
Forpus conspicillatus,Spectacled Parrotlet
Forpus passerinus,Green-rumped Parrotlet
Forpus xanthopterygius,Cobalt-rumped Parrotlet
Foudia madagascariensis,Red Fody
Francolinus francolinus,Black Francolin
Francolinus pictus,Painted Francolin
Fregata minor,Great Frigatebird
Fringilla coelebs,Common Chaffinch
Fringilla montifringilla,Brambling
Fulica alai,Hawaiian Coot
Fulica americana,American Coot
Fulica atra,Eurasian Coot
Fulmarus glacialis,Northern Fulmar
Furnarius figulus,Wing-banded Hornero
Furnarius leucopus,Pale-legged Hornero
Furnarius rufus,Rufous Hornero
Galbula albirostris,Yellow-billed Jacamar
Galbula cyanescens,Bluish-fronted Jacamar
Galbula cyanicollis,Blue-cheeked Jacamar
Galbula dea,Paradise Jacamar
Galbula galbula,Green-tailed Jacamar
Galbula leucogastra,Bronzy Jacamar
Galbula ruficauda,Rufous-tailed Jacamar
Galerida cristata,Crested Lark
Galerida theklae,Thekla's Lark
Gallicrex cinerea,Watercock
Gallinago delicata,Wilson's Snipe
Gallinago gallinago,Common Snipe
Gallinago media,Great Snipe
Gallinago paraguaiae,Paraguayan Snipe
Gallinago stenura,Pin-tailed Snipe
Gallinula chloropus,Eurasian Moorhen
Gallinula galeata,Common Gallinule
Gallirallus philippensis,Buff-banded Rail
Galloperdix spadicea,Red Spurfowl
Gallus gallus,Red Junglefowl
Gallus sonneratii,Gray Junglefowl
Garrulax canorus,Chinese Hwamei
Garrulax leucolophus,White-crested Laughingthrush
Garrulus glandarius,Eurasian Jay
Gastrophryne carolinensis,Eastern Narrow-mouthed Toad
Gastrophryne olivacea,Great Plains Narrow-mouthed Toad
Gavia arctica,Arctic Loon
Gavia immer,Common Loon
Gavia stellata,Red-throated Loon
Gavicalis virescens,Singing Honeyeater
Gelochelidon nilotica,Gull-billed Tern
Geococcyx californianus,Greater Roadrunner
Geoffroyus geoffroyi,Red-cheeked Parrot
Geokichla citrina,Orange-headed Thrush
Geopelia humeralis,Bar-shouldered Dove
Geopelia placida,Peaceful Dove
Geopelia striata,Zebra Dove
Geositta rufipennis,Rufous-banded Miner
Geothlypis aequinoctialis,Masked Yellowthroat
Geothlypis formosa,Kentucky Warbler
Geothlypis nelsoni,Hooded Yellowthroat
Geothlypis philadelphia,Mourning Warbler
Geothlypis poliocephala,Gray-crowned Yellowthroat
Geothlypis semiflava,Olive-crowned Yellowthroat
Geothlypis tolmiei,MacGillivray's Warbler
Geothlypis trichas,Common Yellowthroat
Geotrygon montana,Ruddy Quail-Dove
Geranoaetus albicaudatus,White-tailed Hawk
Geranospiza caerulescens,Crane Hawk
Gerygone igata,Gray Gerygone
Gerygone mouki,Brown Gerygone
Gerygone olivacea,White-throated Gerygone
Gerygone sulphurea,Golden-bellied Gerygone
Glareola lactea,Small Pratincole
Glareola pratincola,Collared Pratincole
Glaucestrilda caerulescens,Lavender Waxbill
Glaucidium brasilianum,Ferruginous Pygmy-Owl
Glaucidium cuculoides,Asian Barred Owlet
Glaucidium gnoma,Northern Pygmy-Owl
Glaucidium griseiceps,Central American Pygmy-Owl
