,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url
2,Black-whiskered Vireo (Vireo altiloquus),0:28,Ross Gallardy,2016-03-19,11:00,Dominican Republic,"Distrito Municipal de Mencía, Pedernales, Pedernales",1000,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308673,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308673 - Black-whiskered Vireo - Vireo altiloquus.mp3,/308673/download
3,Black-whiskered Vireo (Vireo altiloquus),0:26,Albert Lastukhin & Max Lastukhin,2015-01-24,12:00,Dominican Republic,Puerto Plata,60,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC213218,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC213218 - Black-whiskered Vireo - Vireo altiloquus.mp3,/213218/download
4,Black-whiskered Vireo (Vireo altiloquus),1:04,Paul Marvin,2014-05-25,09:09,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",0,"bill snapping, song","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC197264,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC197264 - Black-whiskered Vireo - Vireo altiloquus.mp3,/197264/download
5,Black-whiskered Vireo (Vireo altiloquus),1:05,Paul Marvin,2014-07-05,10:23,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",0,song,"It's making what I presume to be a Gray Kingbird imitation with its song.  There's a pair of Gray Kingbirds at this location that it might be mimicking.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC196029,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC196029 - Black-whiskered Vireo - Vireo altiloquus.mp3,/196029/download
6,Black-whiskered Vireo (Vireo altiloquus),3:46,Paul Marvin,2014-07-05,10:06,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",0,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC196028,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC196028 - Black-whiskered Vireo - Vireo altiloquus.mp3,/196028/download
7,Black-whiskered Vireo (Vireo altiloquus),2:36,Paul Marvin,2014-07-05,10:44,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",0,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC196027,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC196027 - Black-whiskered Vireo - Vireo altiloquus.mp3,/196027/download
8,Black-whiskered Vireo (Vireo altiloquus),2:06,Eric DeFonso,2014-03-09,11:02,Puerto Rico,"Maricao State Forest, Maricao",750,song,"Primary song, either 2 or 3 phrases. Habitat is humid montane forest.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC173666,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC173666 - Black-whiskered Vireo - Vireo altiloquus.mp3,/173666/download
9,Black-whiskered Vireo (Vireo altiloquus),1:22,Eric DeFonso,2014-03-05,10:12,Puerto Rico,"PR 191 pullout, El Yunque National Forest, Río Grande",500,song,"Primary 3-part song from bird moving through trees around parking area. Silence gap is about half a minute. Some car noise (this was right by the main thoroughfare). Habitat is humid montane forest.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC173429,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC173429 - Black-whiskered Vireo - Vireo altiloquus.mp3,/173429/download
10,Black-whiskered Vireo (Vireo altiloquus),2:12,Paul Marvin,2013-07-12,06:56,United States,"North Key Largo, Florida",0,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC145771,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC145771 - Black-whiskered Vireo - Vireo altiloquus.mp3,/145771/download
11,Black-whiskered Vireo (Vireo altiloquus),1:00,Paul Marvin,2013-07-04,10:30,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",0,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC145770,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC145770 - Black-whiskered Vireo - Vireo altiloquus.mp3,/145770/download
12,Black-whiskered Vireo (Vireo altiloquus barbatulus),0:18,Andrew Spencer,2012-05-17,12:30,United States,"Saddlebunch Key, Monroe Co., Florida",1,call,"calls from the presumed female of a pair of birds, in response to playback.  The presumed male can be heard overlapping the female in the second call bout in this cut.  From dense mangrove forest.
 [sono]",ABCDE,XC104636,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC104636 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/104636/download
13,Black-whiskered Vireo (Vireo altiloquus barbatulus),2:00,Andrew Spencer,2012-05-17,09:10,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",3,song,"natural vocalization from a bird singing in a dense hardwood hammock, near mangrove forest.
 [sono]",ABCDE,XC104635,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC104635 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/104635/download
14,Black-whiskered Vireo (Vireo altiloquus barbatulus),1:01,Andrew Spencer,2012-05-17,08:45,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",3,song,"natural vocalization from a bird singing in a dense hardwood hammock, near mangrove forest.
 [sono]",ABCDE,XC104634,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC104634 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/104634/download
15,Black-whiskered Vireo (Vireo altiloquus barbatulus),0:47,Andrew Spencer,2012-05-17,07:30,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",3,song,"natural vocalization from a bird singing in a dense hardwood hammock, near mangrove forest.
 [sono]",ABCDE,XC104633,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC104633 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/104633/download
16,Black-whiskered Vireo (Vireo altiloquus barbatulus),3:10,Andrew Spencer,2012-05-16,15:00,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",3,song,"natural vocalization from a bird singing in dense mangrove forest.
 [sono]",ABCDE,XC104632,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC104632 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/104632/download
17,Black-whiskered Vireo (Vireo altiloquus),0:21,Ian Davies,2012-03-17,?,Dominican Republic,"Santo Domingo Botanical Gardens, Santo Domingo, Dominican Republic",?,Song,[sono],ABCDE,XC97198,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC97198 - Black-whiskered Vireo - Vireo altiloquus.mp3,/97198/download
18,Black-whiskered Vireo (Vireo altiloquus barbatulus),0:25,Brian Cox,2011-04-07,10:00,Cuba,"Finca La Belen, Camaguey",120,Song,[sono],ABCDE,XC82987,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC82987 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/82987/download
19,Black-whiskered Vireo (Vireo altiloquus barbatulus),0:11,Brian Cox,2011-03-29,10:00,Cuba,"Cuevas de los Portales, Pinar del Rio",130,Song,[sono],ABCDE,XC82985,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC82985 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/82985/download
20,Black-whiskered Vireo (Vireo altiloquus),0:49,Paul Driver,2010-04-25,am,Bahamas,"Andros, Bahamas",0,song,[sono],ABCDE,XC50152,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC50152 - Black-whiskered Vireo - Vireo altiloquus.mp3,/50152/download
21,Black-whiskered Vireo (Vireo altiloquus),0:37,Paul Driver,2010-04-26,7.15am,Bahamas,"Andros, Bahamas",0,song,"trill by male with song
 [sono]",ABCDE,XC50151,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC50151 - Black-whiskered Vireo - Vireo altiloquus.mp3,/50151/download
22,Black-whiskered Vireo (Vireo altiloquus),1:36,Daniel Lane,2009-04-01,9:12,Puerto Rico,"Maricao Forest, Puerto Rico",770,song,"Natural song from tall eucalypt near building complex.
  [also]
[sono]",ABCDE,XC32234,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC32234 - Black-whiskered Vireo - Vireo altiloquus.mp3,/32234/download
23,Black-whiskered Vireo (Vireo altiloquus),1:18,Daniel Lane,2009-03-31,09:35,Puerto Rico,"Laguna Cartagena, Puerto Rico",10,song,"Natural song from an unseen bird in deciduous woodland near marsh.
  [also]
[sono]",ABCDE,XC32090,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC32090 - Black-whiskered Vireo - Vireo altiloquus.mp3,/32090/download
24,Black-whiskered Vireo (Vireo altiloquus),0:23,Daniel Lane,1991-08-14,?,United States,"Boot Key, FL",2,call,"Calls in response to our presence.
 [sono]",ABCDE,XC29737,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC29737 - Black-whiskered Vireo - Vireo altiloquus.mp3,/29737/download
25,Black-whiskered Vireo (Vireo altiloquus),0:21,Garry Bakker,2017-04-01,09:34,Cuba,"Jagüey Grande, Matanzas",10,song,"bird-seen:yes
playback-used:no
 Recording (not its ID) has been discussed. See the forum.[sono]",ABCDE,XC574047,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC574047 - Black-whiskered Vireo - Vireo altiloquus.mp3,/574047/download
26,Black-whiskered Vireo (Vireo altiloquus),3:17,grete pasch,2019-02-19,07:06,Barbados,"Sion Hill, Saint James",170,song,"No modification.  Bird perched inside tree, not seen.  
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC457305,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC457305 - Black-whiskered Vireo - Vireo altiloquus.mp3,/457305/download
27,Black-whiskered Vireo (Vireo altiloquus altiloquus),0:32,George Wagner,2018-03-03,10:00,Dominican Republic,"Cumayasa River Canyon, La Caña, San Pedro de Macoris",20,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC438079,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC438079 - Black-whiskered Vireo - Vireo altiloquus altiloquus.mp3,/438079/download
28,Black-whiskered Vireo (Vireo altiloquus),0:27,Nick Komar,2018-07-13,08:30,Jamaica,"Ecclesdown Road, Portland Parish",140,song,"Recording filtered and normalized.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC426025,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC426025 - Black-whiskered Vireo - Vireo altiloquus.mp3,/426025/download
29,Black-whiskered Vireo (Vireo altiloquus),0:32,Nick Komar,2018-07-13,11:30,Jamaica,"Ecclesdown Road, Portland Parish",140,call,"Recording filtered and normalized.
playback-used:no
 [sono]",ABCDE,XC426024,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC426024 - Black-whiskered Vireo - Vireo altiloquus.mp3,/426024/download
30,Black-whiskered Vireo (Vireo altiloquus),0:16,Judith PRIAM,2017-07-19,11:00,France,"Saint-François, Grande-Terre",0,song,"bird-seen:yes
playback-used:no
 ID has been discussed and resolved. See the forum.[sono]",ABCDE,XC381314,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC381314 - Black-whiskered Vireo - Vireo altiloquus.mp3,/381314/download
31,Black-whiskered Vireo (Vireo altiloquus),4:00,Jack Baddams,2016-06-13,11:20,Dominica,"D-Smart Farm, Corona Estate, Corona, Dominica",550,song,"2 male birds singing on territory in the forest canopy. 
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC351591,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC351591 - Black-whiskered Vireo - Vireo altiloquus.mp3,/351591/download
32,Black-whiskered Vireo (Vireo altiloquus),0:53,ASJ26,2016-05-28,09:30,United States,"Flamingo, Everglades National Park, Florida",0,call,"Was identified as Black Whiskered Vireo. Thanks.
bird-seen:no
playback-used:no
 Originally a mystery recording. See the forum.[sono]",ABCDE,XC320238,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC320238 - Black-whiskered Vireo - Vireo altiloquus.mp3,/320238/download
33,Black-whiskered Vireo (Vireo altiloquus),0:46,Jesse Fagan,2008-04-21,10:00,Bahamas,Central Abaco,10,song,"bird-seen:yes
 [sono]",ABCDE,XC277427,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC277427 - Black-whiskered Vireo - Vireo altiloquus.mp3,/277427/download
34,Black-whiskered Vireo (Vireo altiloquus barbatulus),0:26,Hans Matheve,2015-04-08,?,Cuba,"La Guira NP, Pinar del Río",280,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC256744,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC256744 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/256744/download
35,Black-whiskered Vireo (Vireo altiloquus),0:55,Brian Henderson,2014-04-28,07:30,United States,"Sugarloaf Key, Monroe County, Florida",0,song,"Two countersinging males: one is pretty close and loud in the recording, the other is barely audible.  Habitat: mangrove forest.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC234655,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC234655 - Black-whiskered Vireo - Vireo altiloquus.mp3,/234655/download
36,Black-whiskered Vireo (Vireo altiloquus),0:31,Terry Davis,2013-02-22,07:30,Netherlands,"Windwardside, Saba",420,song,"Individual almost certainly same, singing in same location as XC215229 Volume probably slightly adjusted/increased during recording near end.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC215553,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC215553 - Black-whiskered Vireo - Vireo altiloquus.mp3,/215553/download
37,Black-whiskered Vireo (Vireo altiloquus),0:12,Terry Davis,2013-02-27,11:48,Netherlands,"The Bottom, Saba",190,"song, wind noise","Same as XC215245 - Bird relocated farther away. I approached closer to treeline and continued.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC215246,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC215246 - Black-whiskered Vireo - Vireo altiloquus.mp3,/215246/download
38,Black-whiskered Vireo (Vireo altiloquus),0:21,Terry Davis,2013-02-26,07:30,Netherlands,"Windwardside, Saba",420,song,"Bird singing near the start of lower entrance to trail of Mt Scenery, which is off the main rd just northwest of the Trail Shop on west side of Windwardside. Very poor quality, yet most lengthy cut of I have of this individual, heard singing here on different days. Dense/tall canopy, profuse understory, somewhat dry 
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC215229,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC215229 - Black-whiskered Vireo - Vireo altiloquus.mp3,/215229/download
39,Black-whiskered Vireo (Vireo altiloquus),8:03,Oscar Humberto Marin-Gomez,2014-09-30,09:30,Dominican Republic,Los Limones,280,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC214562,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC214562 - Black-whiskered Vireo - Vireo altiloquus.mp3,/214562/download
40,Black-whiskered Vireo (Vireo altiloquus),0:28,Albert Lastukhin & Max Lastukhin,2015-01-24,12:00,Dominican Republic,Puerto Plata,60,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC213221,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC213221 - Black-whiskered Vireo - Vireo altiloquus.mp3,/213221/download
41,Black-whiskered Vireo (Vireo altiloquus),0:36,Albert Lastukhin & Max Lastukhin,2015-01-24,12:00,Dominican Republic,Puerto Plata,60,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC213219,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC213219 - Black-whiskered Vireo - Vireo altiloquus.mp3,/213219/download
42,Black-whiskered Vireo (Vireo altiloquus),4:41,Paul Marvin,2014-05-23,09:22,United States,"Sugarloaf Key, Monroe County, Florida",0,"call, song","pair, one called a little, the other sang
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC197269,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC197269 - Black-whiskered Vireo - Vireo altiloquus.mp3,/197269/download
43,Black-whiskered Vireo (Vireo altiloquus),2:02,Paul Marvin,2014-05-23,07:10,United States,"Sugarloaf Key, Monroe County, Florida",0,"call, flight call, song","pair in mangroves, calls in flight except second call, and last 2 different type calls were made out of sight after they flew across road and became hidden in mangroves
one would sing briefly and the other called
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC197267,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC197267 - Black-whiskered Vireo - Vireo altiloquus.mp3,/197267/download
44,Black-whiskered Vireo (Vireo altiloquus),1:03,Paul Marvin,2014-07-05,10:09,United States,"National Key Deer Refuge, No Name Key, Monroe Co., Florida",0,"call, song","called once at 0:30 seconds
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC196026,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC196026 - Black-whiskered Vireo - Vireo altiloquus.mp3,/196026/download
45,Black-whiskered Vireo (Vireo altiloquus),1:08,Eric DeFonso,2014-03-09,09:55,Puerto Rico,"Maricao State Forest, Maricao",750,song,"Primary song from unseen bird off trail in thick understory. Habitat is humid montane forest.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC173662,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC173662 - Black-whiskered Vireo - Vireo altiloquus.mp3,/173662/download
46,Black-whiskered Vireo (Vireo altiloquus),0:17,Mario Cohn-Haft,2014-02-07,08:15,Brazil,Manaus. INPA tower on ZF-2,50,song,"This is the first time I've ever heard this species anywhere, let alone in Amazonia, where it's a very low-density winterer that I see probably once every 2 or 3 years in situations much like this one, but previously always silent.  As the mixed species canopy flock approached the tower, I heard this unfamiliar vireo-like song that I recorded and then played back.  I detected no clear response to playback and the vocalizing had stopped even before I began to play.  However, several minutes later a V. altiloquus appeared in the crown of a 30+m emergent tree (Goupia glabra) next to the tower and persisted there long enough for me to collect it.  The specimen is deposited at the INPA collection here in Manaus.  I cannot be sure the individual I collected was the same bird that sang, and I base the ID of this cut on its similarity to the others here on XC.  However, I'm guessing it is all the same bird.  The habitat, then, is canopy of primary terra firme forest.  The original recording is in wav format and is only slightly longer, with more background species at the end that were trimmed off in this cut.  It began softly and grows louder when I increased the recording level; however, in this cut i boosted the level at the start to keep it roughly even throughout.
playback-used:no
  [also]
[sono]",ABCDE,XC166587,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC166587 - Black-whiskered Vireo - Vireo altiloquus.mp3,/166587/download
47,Black-whiskered Vireo (Vireo altiloquus),0:31,Mike Nelson,2013-04-11,09:00,United States,"Upper Sugarloaf Key, Monroe, Florida",0,song,"Two birds seen together here after a brief rain shower.
bird-seen:yes
playback-used:yes
  [also]
[sono]",ABCDE,XC130504,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC130504 - Black-whiskered Vireo - Vireo altiloquus.mp3,/130504/download
48,Black-whiskered Vireo (Vireo altiloquus),0:35,Mike Nelson,2013-04-11,09:00,United States,"Upper Sugarloaf Key, Monroe, Florida",0,song,"Two birds seen together here after a brief rain shower.
bird-seen:yes
playback-used:yes
  [also]
[sono]",ABCDE,XC130503,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC130503 - Black-whiskered Vireo - Vireo altiloquus.mp3,/130503/download
49,Black-whiskered Vireo (Vireo altiloquus),0:14,Mike Nelson,2013-04-11,09:00,United States,"Upper Sugarloaf Key, Monroe, Florida",0,song,"Two birds seen together here after a brief rain shower.
bird-seen:yes
playback-used:yes
  [also]
[sono]",ABCDE,XC130502,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC130502 - Black-whiskered Vireo - Vireo altiloquus.mp3,/130502/download
50,Black-whiskered Vireo (Vireo altiloquus),0:39,Lance A. M. Benner,2012-03-11,11:20 AST,Puerto Rico,Arecibo Observatory,300,song,"I identified the bird by voice but didn't see it.
  [also]
[sono]",ABCDE,XC105981,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC105981 - Black-whiskered Vireo - Vireo altiloquus.mp3,/105981/download
51,Black-whiskered Vireo (Vireo altiloquus),0:45,Lance A. M. Benner,2012-03-11,11:00 AST,Puerto Rico,Arecibo Observatory,300,song,"I identified the bird by voice but didn't see it.  A coqui frog is also audible in the recording.
 [sono]",ABCDE,XC105979,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC105979 - Black-whiskered Vireo - Vireo altiloquus.mp3,/105979/download
52,Black-whiskered Vireo (Vireo altiloquus barbatulus),0:24,Brian Cox,2011-03-30,10:00,Cuba,"Cuevas de los Portales, Pinar del Rio",130,Song,[sono],ABCDE,XC82986,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC82986 - Black-whiskered Vireo - Vireo altiloquus barbatulus.mp3,/82986/download
53,Black-whiskered Vireo (Vireo altiloquus),0:06,Daniel Lane,2009-04-04,08:40,Puerto Rico,"Casa Cubuy, El Yunque NP, Puerto Rico",400,call,"[also]
[sono]",ABCDE,XC46651,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC46651 - Black-whiskered Vireo - Vireo altiloquus.mp3,/46651/download
54,Black-whiskered Vireo (Vireo altiloquus),0:33,Don Jones,1991-04-28,?,United States,"Card Sound Key, Florida",?,song,[sono],ABCDE,XC5563,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC5563 - Black-whiskered Vireo - Vireo altiloquus.mp3,/5563/download
55,Black-whiskered Vireo (Vireo altiloquus altiloquus),0:25,Justin Bosler,2019-07-27,12:48,United States,"Key Largo, Monroe County, Florida",2,song,"Singing from high in canopy of mature maritime hammock. No modifications made to recording.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC489358,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC489358 - Black-whiskered Vireo - Vireo altiloquus altiloquus.mp3,/489358/download
56,Black-whiskered Vireo (Vireo altiloquus),0:13,Keith Corliss,2018-06-13,14:00,United States,"Marathon - Kmart / Publix - MM50 (near  Marathon), Monroe County, Florida",0,song,"singing black-whiskered vireo
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC483167,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC483167 - Black-whiskered Vireo - Vireo altiloquus.mp3,/483167/download
57,Black-whiskered Vireo (Vireo altiloquus),0:02,Orlando A. Acevedo-Charry,2017-05-09,10:57,Puerto Rico,"Guayama, Guamaní, Guayama",400,song,"Inside secondary forest.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC370027,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC370027 - Black-whiskered Vireo - Vireo altiloquus.mp3,/370027/download
58,(?) Black-whiskered Vireo (Vireo altiloquus),0:32,Oswaldo Cortes,2017-04-03,08:30,Colombia,"San Andrés, San Andrés y Providencia",10,song,"bird-seen:yes
playback-used:no
 ID under discussion. See the forum.[sono]",ABCDE,XC365313,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC365313 - Black-whiskered Vireo - Vireo altiloquus.mp3,/365313/download
59,Black-whiskered Vireo (Vireo altiloquus),0:07,Terry Davis,2013-02-27,11:45,Netherlands,"The Bottom, Saba",260,song,"Different indiv than XC215229 Another short cut ( much noise) of 1 of only 4 individuals I found on the island during my entire stay. Suburban/ yard edge. Open/grassy areas interspersed with dense shrubby trees.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC215245,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC215245 - Black-whiskered Vireo - Vireo altiloquus.mp3,/215245/download
60,Black-whiskered Vireo (Vireo altiloquus),1:00,JL Guerra,2019-05-03,12:28,Cuba,"Boyeros, La Habana",60,call,"An unusual call of BWVI. Bird singing from canopy, inside the forest patch, approx 10m away from recorder. Recorded using a Huawei Y360-U31 smartphone. Edited in Audacity 2.3.1 GNU/Linux version (high pass filter, set it to frequency of 1500.0 Hz, and 6 db level of rollof per octave; amplified to 15dB).
bird-seen:yes
playback-used:no
 Originally a mystery recording. See the forum. [also]
[sono]",ABCDE,XC472087,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC472087 - Black-whiskered Vireo - Vireo altiloquus.mp3,/472087/download
61,(?) Black-whiskered Vireo (Vireo altiloquus),0:47,Oswaldo Cortes,2017-01-27,15:00,Colombia,"Pueblo Rico, Risaralda",2000,call,"bird-seen:yes
playback-used:no
 ID under discussion. See the forum.[sono]",ABCDE,XC366954,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC366954 - Black-whiskered Vireo - Vireo altiloquus.mp3,/366954/download
62,Black-whiskered Vireo (Vireo altiloquus),1:10,Terry Davis,2013-02-22,07:30,Netherlands,"Windwardside, Saba",420,song,"Same as XC215553 Volume on recorder adjusted. Good cut except WIND at 042 and 103 to end. Edit- also noticed that I inadvertently increased volume within Audacity when editing this file. While certainly not brand new to ear birding, I am at working with sound files
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC215554,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC215554 - Black-whiskered Vireo - Vireo altiloquus.mp3,/215554/download
63,Black-whiskered Vireo (Vireo altiloquus),0:31,Oscar Humberto Marin-Gomez,2014-09-30,12:30,Dominican Republic,Los Limones,280,song,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC214563,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC214563 - Black-whiskered Vireo - Vireo altiloquus.mp3,/214563/download
64,Black-whiskered Vireo (Vireo altiloquus),0:24,Allen T. Chartier,1994-04-25,?,St Lucia,"Quilesse Forest Reserve, west of Micoud, St. Lucia",270,Song,"Three birds interacting
 [sono]",ABCDE,XC9512,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC9512 - Black-whiskered Vireo - Vireo altiloquus.mp3,/9512/download
0,Jamaican Crow (Corvus jamaicensis),0:23,Ross Gallardy,2016-03-11,08:30,Jamaica,"Wiltshire, Saint James Parish",280,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308459,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308459 - Jamaican Crow - Corvus jamaicensis.mp3,/308459/download
1,Jamaican Crow (Corvus jamaicensis),0:25,Ross Gallardy,2016-03-09,16:30,Jamaica,Ecclesdown Rd,300,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308439,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308439 - Jamaican Crow - Corvus jamaicensis.mp3,/308439/download
2,Jamaican Crow (Corvus jamaicensis),0:04,Ross Gallardy,2016-03-09,16:30,Jamaica,Ecclesdown Rd,300,call,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC308438,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC308438 - Jamaican Crow - Corvus jamaicensis.mp3,/308438/download
3,Jamaican Crow (Corvus jamaicensis),0:25,Adam Kent,2015-07-30,06:34,Jamaica,"Castleton Gardens, Saint Mary Parish",150,call,"3-4 crows about 20-50' high in palms and deciduous trees at forest/garden edge.  Social context of sounds unclear.
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC265070,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC265070 - Jamaican Crow - Corvus jamaicensis.mp3,/265070/download
4,Jamaican Crow (Corvus jamaicensis),0:27,Nathan Hentze,2014-02-09,15:00,Jamaica,"Burnt Hil, Trelawny",500,call,"Two crows perched in tree behind first row of trees beside road without any vehicle traffic. Eventually were seen as they flew off. Natural spacing of calls. Both ""caw"" calls and ""turkey gobbles"".  Same birds as in XC263766
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC263768,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC263768 - Jamaican Crow - Corvus jamaicensis.mp3,/263768/download
