,Common name / Scientific,Length,Recordist,Date,Time,Country,Location,Elev. (m),Type,Remarks,Actions,Cat.nr.,copyright,filename,download url,file_location
239,Common Wood Pigeon (Columba palumbus),0:50,Volker Arnold,2012-03-04,7.14,Germany,"Heide-Ruesdorf, Dithmarschen, Schleswig-Holstein",7,"call, song","in my garden. Remark the calls after the song!
  [also]
[sono]",ABCDE,XC96280,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC96280 - Common Wood Pigeon - Columba palumbus.mp3,/96280/download,./nips/data/XC96280 - Common Wood Pigeon - Columba palumbus.mp3
240,Common Wood Pigeon (Columba palumbus),0:34,Frank Lambert,2010-02-10,08:45,United Kingdom,"Ninfield, East Sussex",180,song,[sono],ABCDE,XC94615,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC94615 - Common Wood Pigeon - Columba palumbus.mp3,/94615/download,./nips/data/XC94615 - Common Wood Pigeon - Columba palumbus.mp3
241,Common Wood Pigeon (Columba palumbus),2:37,Frank Lambert,2010-02-10,08:50,United Kingdom,"Ninfield, East Sussex",180,song,[sono],ABCDE,XC94614,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC94614 - Common Wood Pigeon - Columba palumbus.mp3,/94614/download,./nips/data/XC94614 - Common Wood Pigeon - Columba palumbus.mp3
242,Common Wood Pigeon (Columba palumbus),0:23,Frank Lambert,2010-02-10,08:40,United Kingdom,"Ninfield, East Sussex",180,song,[sono],ABCDE,XC94613,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC94613 - Common Wood Pigeon - Columba palumbus.mp3,/94613/download,./nips/data/XC94613 - Common Wood Pigeon - Columba palumbus.mp3
243,Common Wood Pigeon (Columba palumbus),2:23,Herman van der Meer,2011-07-31,06:35,Netherlands,"De Kieviet, Wassenaar, ZH",1,song,"Several singers, one of them on the nest. Also the whistling of wings. [52.126, 4.359]
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC91236,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC91236 - Common Wood Pigeon - Columba palumbus.mp3,/91236/download,./nips/data/XC91236 - Common Wood Pigeon - Columba palumbus.mp3
244,Common Wood Pigeon (Columba palumbus),0:41,Herman van der Meer,2011-07-20,06:45,Netherlands,"Boerderij Meijendel eo, Meijendel, Wassenaar, ZH",3,song,"[52.129, 4.333]
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC91235,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC91235 - Common Wood Pigeon - Columba palumbus.mp3,/91235/download,./nips/data/XC91235 - Common Wood Pigeon - Columba palumbus.mp3
245,Common Wood Pigeon (Columba palumbus),1:29,Volker Arnold,2008-03-23,7.00,Germany,"Riesewohld, Dithmarschen, Schleswig-Holstein",23,song,"in mixed dedicuous forest
  [also]
[sono]",ABCDE,XC77498,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC77498 - Common Wood Pigeon - Columba palumbus.mp3,/77498/download,./nips/data/XC77498 - Common Wood Pigeon - Columba palumbus.mp3
246,Common Wood Pigeon (Columba palumbus),0:13,Louis A. Hansen,2010-06-27,07:10,Denmark,"Gedser, Gedser bird observatory and ringing station (GFU)",8,Song,[sono],ABCDE,XC77395,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC77395 - Common Wood Pigeon - Columba palumbus.mp3,/77395/download,./nips/data/XC77395 - Common Wood Pigeon - Columba palumbus.mp3
247,Common Wood Pigeon (Columba palumbus),0:31,Jelmer Poelstra,2011-04-23,08:30,Sweden,"Fiby Urskog, Uppland, Sweden",50,song,"[also]
[sono]",ABCDE,XC76918,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC76918 - Common Wood Pigeon - Columba palumbus.mp3,/76918/download,./nips/data/XC76918 - Common Wood Pigeon - Columba palumbus.mp3
248,Common Wood Pigeon (Columba palumbus),1:05,Marco Dragonetti,2004-07-11,19:00,Italy,"Località Poderone, Magliano in Toscana, Grosseto",130,male territorial call,"Check also my website: www.birdsongs.it
 [sono]",ABCDE,XC76849,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC76849 - Common Wood Pigeon - Columba palumbus.mp3,/76849/download,./nips/data/XC76849 - Common Wood Pigeon - Columba palumbus.mp3
249,Common Wood Pigeon (Columba palumbus palumbus),0:14,Erik Eggenkamp,2010-07-25,10:57,Netherlands,"Wijk Seghwaert, Zoetermeer",-2,song,[sono],ABCDE,XC72760,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC72760 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/72760/download,./nips/data/XC72760 - Common Wood Pigeon - Columba palumbus palumbus.mp3
250,Common Wood Pigeon (Columba palumbus),0:29,Patrik Åberg,2010-07-13,17:11,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",?,Song and wingflap,[sono],ABCDE,XC67245,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC67245 - Common Wood Pigeon - Columba palumbus.mp3,/67245/download,./nips/data/XC67245 - Common Wood Pigeon - Columba palumbus.mp3
251,Common Wood Pigeon (Columba palumbus),1:04,Patrik Åberg,2010-08-07,16:17,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",?,Song,"Divergent song
 [sono]",ABCDE,XC67243,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC67243 - Common Wood Pigeon - Columba palumbus.mp3,/67243/download,./nips/data/XC67243 - Common Wood Pigeon - Columba palumbus.mp3
252,Common Wood Pigeon (Columba palumbus),0:17,Frank Lambert,2010-08-14,07:00,United Kingdom,"Withdean Park, Brighton [UK]",50,wing flap and song,[sono],ABCDE,XC59770,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC59770 - Common Wood Pigeon - Columba palumbus.mp3,/59770/download,./nips/data/XC59770 - Common Wood Pigeon - Columba palumbus.mp3
253,Common Wood Pigeon (Columba palumbus),0:15,Patrik Åberg,2009-05-21,?,Sweden,"Ottenby, Öland",?,song,"[also]
[sono]",ABCDE,XC42432,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,XC42432 - Common Wood Pigeon - Columba palumbus.mp3,/42432/download,./nips/data/XC42432 - Common Wood Pigeon - Columba palumbus.mp3
254,Common Wood Pigeon (Columba palumbus),0:16,Sander Bot,2009-03-21,?,Netherlands,"Dwingelderveld, Drenthe",5,song,[sono],ABCDE,XC35082,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC35082 - Common Wood Pigeon - Columba palumbus.mp3,/35082/download,./nips/data/XC35082 - Common Wood Pigeon - Columba palumbus.mp3
255,Common Wood Pigeon (Columba palumbus),0:14,Stuart Fisher,0000-00-00,?,United Kingdom,"Send, Surrey, England",25,wing sound,"Sounds of flushed bird taking flight
  [also]
[sono]",ABCDE,XC26550,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,XC26550 - Common Wood Pigeon - Columba palumbus.mp3,/26550/download,./nips/data/XC26550 - Common Wood Pigeon - Columba palumbus.mp3
256,Common Wood Pigeon (Columba palumbus),0:12,Vincent Palomares,2022-08-16,07:00,France,"Saint-Rambert-d'Albon, Drôme, Auvergne-Rhône-Alpes",160,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC744094,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC744094 - Common Wood Pigeon - Columba palumbus.mp3,/744094/download,./nips/data/XC744094 - Common Wood Pigeon - Columba palumbus.mp3
257,Common Wood Pigeon (Columba palumbus),0:15,Gil Lissens,2022-08-12,13:41,Belgium,"Arrondissement Mechelen (near  Bornem), Antwerpen, Vlaams Gewest",10,"adult, song","Recorded with Recforge II pro on smartphone
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC743781,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC743781 - Common Wood Pigeon - Columba palumbus.mp3,/743781/download,./nips/data/XC743781 - Common Wood Pigeon - Columba palumbus.mp3
258,Common Wood Pigeon (Columba palumbus),0:04,Romuald Mikusek,2022-08-14,11:40,Poland,"Głogów (near  Ruszowice), głogowski, Województwo dolnośląskie",100,wing beats,"start
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC743111,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC743111 - Common Wood Pigeon - Columba palumbus.mp3,/743111/download,./nips/data/XC743111 - Common Wood Pigeon - Columba palumbus.mp3
259,Common Wood Pigeon (Columba palumbus),2:27,Romuald Mikusek,2022-08-14,11:40,Poland,"Głogów (near  Ruszowice), głogowski, Województwo dolnośląskie",100,call,"male close to the female sitting on the nest
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC743110,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC743110 - Common Wood Pigeon - Columba palumbus.mp3,/743110/download,./nips/data/XC743110 - Common Wood Pigeon - Columba palumbus.mp3
260,Common Wood Pigeon (Columba palumbus),1:24,Romuald Mikusek,2022-05-03,06:30,Poland,"South Park (near  Głogów), Dolnośląskie Voivodeship",110,"adult, male, song","park in the city
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC742897,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC742897 - Common Wood Pigeon - Columba palumbus.mp3,/742897/download,./nips/data/XC742897 - Common Wood Pigeon - Columba palumbus.mp3
261,Common Wood Pigeon (Columba palumbus casiotis),0:19,Ding Li Yong,2022-06-13,09:00,Tajikistan,"Dushanbe, Nohijahoi tobei çumhurī",800,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC742124,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC742124 - Common Wood Pigeon - Columba palumbus casiotis.mp3,/742124/download,./nips/data/XC742124 - Common Wood Pigeon - Columba palumbus casiotis.mp3
262,Common Wood Pigeon (Columba palumbus),2:10,Uku Paal,2022-05-23,05:00,Estonia,"Vihtra, Põhja-Pärnumaa Rural Municipality, Pärnu County",30,song,"hpf lpf
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC739150,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC739150 - Common Wood Pigeon - Columba palumbus.mp3,/739150/download,./nips/data/XC739150 - Common Wood Pigeon - Columba palumbus.mp3
263,Common Wood Pigeon (Columba palumbus),0:12,Grzegorz Lorek,2022-07-24,07:38,Poland,"Gmina Rydzyna (near  Nowawieś), leszczyński, Wielkopolskie",130,"life stage uncertain, sex uncertain, song","Coniferous forest.  Garrulus glandarius imitating (bird seen) . Recorder  Zoom H5 + Sennheiser MKE 600.  No edit.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC739095,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC739095 - Common Wood Pigeon - Columba palumbus.mp3,/739095/download,./nips/data/XC739095 - Common Wood Pigeon - Columba palumbus.mp3
264,Common Wood Pigeon (Columba palumbus),1:58,Jordi Calvet,2022-07-12,08:30,Spain,"Estany d'Ivars-Vilasana, El Pla d'Urgell, Catalunya",240,"adult, male, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC738042,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC738042 - Common Wood Pigeon - Columba palumbus.mp3,/738042/download,./nips/data/XC738042 - Common Wood Pigeon - Columba palumbus.mp3
265,Common Wood Pigeon (Columba palumbus palumbus),0:09,Francesco Barberini,2022-07-15,21:00,Italy,"Acquapendente, Province of Viterbo, Lazio",400,"life stage uncertain, male, song","[also]
[sono]",ABCDE,XC737726,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC737726 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/737726/download,./nips/data/XC737726 - Common Wood Pigeon - Columba palumbus palumbus.mp3
266,Common Wood Pigeon (Columba palumbus),0:10,Gil Lissens,2022-07-10,08:00,Belgium,"Arrondissement Mechelen (near  Bornem), Antwerpen, Vlaams Gewest",10,"adult, male, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC737643,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC737643 - Common Wood Pigeon - Columba palumbus.mp3,/737643/download,./nips/data/XC737643 - Common Wood Pigeon - Columba palumbus.mp3
267,Common Wood Pigeon (Columba palumbus),1:31,Cedric Mroczko,2022-07-09,06:30,France,"Cordes-sur-Ciel, Tarn, Occitanie, France",280,song,"High-pass filtered. ls-5 + stereo esm aom5024
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC736477,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC736477 - Common Wood Pigeon - Columba palumbus.mp3,/736477/download,./nips/data/XC736477 - Common Wood Pigeon - Columba palumbus.mp3
268,Common Wood Pigeon (Columba palumbus),0:14,Cedric Mroczko,2022-07-08,05:30,France,"Cordes-sur-Ciel, Tarn, Occitanie, France",280,"aberrant, song","d100 + esm aom5024
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC736357,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC736357 - Common Wood Pigeon - Columba palumbus.mp3,/736357/download,./nips/data/XC736357 - Common Wood Pigeon - Columba palumbus.mp3
269,Common Wood Pigeon (Columba palumbus),5:16,Frank Holzapfel,2022-03-20,07:35,Germany,"Hochdorf / Eberdingen, Baden-Württemberg",360,"call, song","Sunday morning in village. Windy. Equipment: Sony PCM-D100.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC736136,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC736136 - Common Wood Pigeon - Columba palumbus.mp3,/736136/download,./nips/data/XC736136 - Common Wood Pigeon - Columba palumbus.mp3
270,Common Wood Pigeon (Columba palumbus),0:16,Paul Howden-Leach,2021-09-21,08:30,United Kingdom,"Ryedale District (near  Helmsley), North Yorkshire, England",70,"adult, call, sex uncertain",[sono],ABCDE,XC735239,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC735239 - Common Wood Pigeon - Columba palumbus.mp3,/735239/download,./nips/data/XC735239 - Common Wood Pigeon - Columba palumbus.mp3
271,Common Wood Pigeon (Columba palumbus),1:26,Cedric Mroczko,2022-06-29,06:20,France,"Cordes-sur-Ciel, Tarn, Occitanie, France",280,"aberrant, song","High-pass filtered. ls-14 + esm aom5024
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC734770,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC734770 - Common Wood Pigeon - Columba palumbus.mp3,/734770/download,./nips/data/XC734770 - Common Wood Pigeon - Columba palumbus.mp3
272,Common Wood Pigeon (Columba palumbus),0:15,Johannes Worona,2022-06-23,10:30,Germany,Berlin-Kreuzberg,40,"adult, call, sex uncertain","A territorial song of a Common woodpigeon (Columba palumbus).
Urban enviroment with basswood, maple, and plane trees and various bushes nearby. Roof area with gravel.
Clear sky, light sw wind, ca. 22°C.
Recorded with a small, hidden recorder set to continuous recording with ALC. Moderate NR, amplification, LPF and HPF applied.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC734075,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC734075 - Common Wood Pigeon - Columba palumbus.mp3,/734075/download,./nips/data/XC734075 - Common Wood Pigeon - Columba palumbus.mp3
273,Common Wood Pigeon (Columba palumbus),0:20,Johannes Worona,2022-06-23,10:00,Germany,Berlin-Kreuzberg,40,"adult, call, sex uncertain","A Common woodpigeon (Columba palumbus) encounters two juvenile, but fledged Hooded crows (Corvus cornix). This song, sung after the crows have distanced from the pigeon, is somewhat different from the usual (territorial) song of the woodpigeon (see XC734075). (Also documented by an automatic wildlife camera.) 
Urban enviroment with basswood, maple, and plane trees and various bushes nearby. Roof area with gravel.
Clear sky, light sw wind, ca. 22°C.
Recorded with a small, hidden recorder set to continuous recording with ALC. Moderate NR, amplification, LPF and HPF applied.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC734074,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC734074 - Common Wood Pigeon - Columba palumbus.mp3,/734074/download,./nips/data/XC734074 - Common Wood Pigeon - Columba palumbus.mp3
274,Common Wood Pigeon (Columba palumbus),0:10,Bodo Sonnenburg,2022-06-11,04:49,Germany,"Landkreis Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",40,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC730992,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC730992 - Common Wood Pigeon - Columba palumbus.mp3,/730992/download,./nips/data/XC730992 - Common Wood Pigeon - Columba palumbus.mp3
275,Common Wood Pigeon (Columba palumbus iranica),0:06,Cedric Mroczko,2022-04-30,09:00,Iran,"Darkesh, Maneh Va Samalqan, North Khorasan Province",1600,wing flaps,"m10 + clippy em172
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC727441,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC727441 - Common Wood Pigeon - Columba palumbus iranica.mp3,/727441/download,./nips/data/XC727441 - Common Wood Pigeon - Columba palumbus iranica.mp3
276,Common Wood Pigeon (Columba palumbus iranica),0:18,Cedric Mroczko,2022-04-30,09:00,Iran,"Darkesh, Maneh Va Samalqan, North Khorasan Province",1600,wing flaps,"m10 + clippy em172
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC727439,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC727439 - Common Wood Pigeon - Columba palumbus iranica.mp3,/727439/download,./nips/data/XC727439 - Common Wood Pigeon - Columba palumbus iranica.mp3
277,Common Wood Pigeon (Columba palumbus),0:18,Dimitri,2022-05-11,13:30,Italy,"Foce del Tordino, TE",0,"song, wingbeats","Singing from tall trees few metres from the seaside, taking flight at the end of the recording.
bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC723645,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC723645 - Common Wood Pigeon - Columba palumbus.mp3,/723645/download,./nips/data/XC723645 - Common Wood Pigeon - Columba palumbus.mp3
278,Common Wood Pigeon (Columba palumbus),0:46,A. Dreißigacker,2022-05-07,08:10,Germany,"Kreisfreie Stadt Speyer (near  Speyer), Karlsruhe, Rheinland-Pfalz",100,song,"bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC722448,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC722448 - Common Wood Pigeon - Columba palumbus.mp3,/722448/download,./nips/data/XC722448 - Common Wood Pigeon - Columba palumbus.mp3
279,Common Wood Pigeon (Columba palumbus),0:11,Manuel Grosselet,2022-04-21,11:00,France,"F44 - LA-CHAPELLE-SUR-ERDRE, center",30,song,"wildtronics mono amplified
Tascam Dr05
bird-seen:yes
playback-used:no
  [also]
[sono]",ABCDE,XC717082,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC717082 - Common Wood Pigeon - Columba palumbus.mp3,/717082/download,./nips/data/XC717082 - Common Wood Pigeon - Columba palumbus.mp3
280,Common Wood Pigeon (Columba palumbus),0:49,Jacobo Ramil MIllarengo,2022-04-16,12:30,Spain,"Campos das Patiñas, San Miguel de Deiro, Vilanova, Pontevedra, Galicia",10,"Nesting call, adult, male","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC716754,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC716754 - Common Wood Pigeon - Columba palumbus.mp3,/716754/download,./nips/data/XC716754 - Common Wood Pigeon - Columba palumbus.mp3
281,Common Wood Pigeon (Columba palumbus),0:28,Marcin Świostek,2022-04-18,07:00,Poland,"Puszcza Niepołomicka, Małopolskie",220,uncertain,"bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC716249,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC716249 - Common Wood Pigeon - Columba palumbus.mp3,/716249/download,./nips/data/XC716249 - Common Wood Pigeon - Columba palumbus.mp3
282,Common Wood Pigeon (Columba palumbus),0:14,Paul Kelly,2022-04-10,08:00,Ireland,"Copper Lane, Meath, County Meath",90,"life stage uncertain, sex uncertain, song","bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC714549,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC714549 - Common Wood Pigeon - Columba palumbus.mp3,/714549/download,./nips/data/XC714549 - Common Wood Pigeon - Columba palumbus.mp3
283,Common Wood Pigeon (Columba palumbus),0:52,Michał Jezierski,2022-04-10,15:23,United Kingdom,"RSPB Otmoor -- First Screen, Oxfordshire, England",60,song,"Bird singing from a hedgerow. No edits.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC714454,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC714454 - Common Wood Pigeon - Columba palumbus.mp3,/714454/download,./nips/data/XC714454 - Common Wood Pigeon - Columba palumbus.mp3
284,Common Wood Pigeon (Columba palumbus),2:04,Thomas Lüthi,2022-04-10,07:00,Switzerland,"Hägendorf, Olten, Solothurn",500,"adult, song","bird-seen:yes
playback-used:no
 [sono]",ABCDE,XC714407,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC714407 - Common Wood Pigeon - Columba palumbus.mp3,/714407/download,./nips/data/XC714407 - Common Wood Pigeon - Columba palumbus.mp3
285,Common Wood Pigeon (Columba palumbus palumbus),0:05,Karol Łanocha,2022-04-01,13:55,Poland,"Gmina Kęty (near  Kęty), Powiat oświęcimski, Małopolskie",280,"adult, song","bird-seen:no
playback-used:no
 [sono]",ABCDE,XC712520,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC712520 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/712520/download,./nips/data/XC712520 - Common Wood Pigeon - Columba palumbus palumbus.mp3
286,Common Wood Pigeon (Columba palumbus),1:27,Cedric Mroczko,2022-04-01,18:20,France,"Cordes-sur-Ciel, Tarn, Occitanie, France",280,"Nest song, song","sd702 + me66
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC712513,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC712513 - Common Wood Pigeon - Columba palumbus.mp3,/712513/download,./nips/data/XC712513 - Common Wood Pigeon - Columba palumbus.mp3
287,Common Wood Pigeon (Columba palumbus palumbus),0:06,Karol Łanocha,2022-03-18,10:55,Poland,"Gmina Kęty (near  Kęty), Powiat oświęcimski, Małopolskie",280,"adult, song","habitat: garden with old trees
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC709386,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC709386 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/709386/download,./nips/data/XC709386 - Common Wood Pigeon - Columba palumbus palumbus.mp3
288,Common Wood Pigeon (Columba palumbus),0:17,James Lidster,2020-05-21,06:00,Netherlands,"Driel, Ausemsstraat (near  Driel), Overbetuwe, Gelderland",10,song,"singing at night
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC704548,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC704548 - Common Wood Pigeon - Columba palumbus.mp3,/704548/download,./nips/data/XC704548 - Common Wood Pigeon - Columba palumbus.mp3
289,Common Wood Pigeon (Columba palumbus),0:10,Allistair Fresse,2022-01-23,09:00,France,"Arrondissement de Chartres (near  Saint-Prest), Eure-et-Loir, Centre-Val de Loire",130,song,"Individu percher dans un sapin, cacher derrière les branches. Il a effectué un vol nuptial qui se caractérise par : une monter en battant des ailes, puis les fait claquer avant de redescendre en planant.
bird-seen:no
  [also]
[sono]",ABCDE,XC698337,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC698337 - Common Wood Pigeon - Columba palumbus.mp3,/698337/download,./nips/data/XC698337 - Common Wood Pigeon - Columba palumbus.mp3
290,Common Wood Pigeon (Columba palumbus),0:13,Cureau Hervé,2022-01-19,09:00,France,"Arrondissement de Pontivy (near  Saint-Aignan), Morbihan, Bretagne",80,song,"bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC697865,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC697865 - Common Wood Pigeon - Columba palumbus.mp3,/697865/download,./nips/data/XC697865 - Common Wood Pigeon - Columba palumbus.mp3
291,Common Wood Pigeon (Columba palumbus),2:27,Michał Jezierski,2021-09-04,6:00,United Kingdom,"Leckford Road, Oxford, Oxfordshire, England",70,song,"Bird recorded during autonomous recording. Suburban garden. Partly cloudy morning, 11 degrees C, easterly wind, 6mph. Recorded using Olympus LS-P1.
  [also]
[sono]",ABCDE,XC672313,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC672313 - Common Wood Pigeon - Columba palumbus.mp3,/672313/download,./nips/data/XC672313 - Common Wood Pigeon - Columba palumbus.mp3
292,Common Wood Pigeon (Columba palumbus),0:40,Peter Boesman,2021-08-11,08:00,Belgium,"Réserve Naturelle Du Haut Geer (near  Geer), Liège, Wallonie",130,"call, song","Somewhat unusual rhythm in song phrase.
 [sono]",ABCDE,XC670039,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC670039 - Common Wood Pigeon - Columba palumbus.mp3,/670039/download,./nips/data/XC670039 - Common Wood Pigeon - Columba palumbus.mp3
293,Common Wood Pigeon (Columba palumbus),5:09,Alexander Henderson,2021-02-27,06:54,United Kingdom,"Midridge, Bath and North East Somerset, England",170,"Wing-beats, call, song","Note how the bird gives the single ""nest call"" in between the typical verses of song. 
Recorded in a small copse of trees with a homemade SASS mounted on a tripod with an Olympus LS-12. Despite being a reasonable distance from a road it has required fairly heavy editing below 2000 Hz to reduce road noise.
bird-seen:no
playback-used:no
  [also]
[sono]",ABCDE,XC668720,Creative Commons Attribution-NonCommercial-NoDerivs 4.0,XC668720 - Common Wood Pigeon - Columba palumbus.mp3,/668720/download,./nips/data/XC668720 - Common Wood Pigeon - Columba palumbus.mp3
294,Common Wood Pigeon (Columba palumbus palumbus),0:31,John Sirrett,2021-08-15,06:00,United Kingdom,"Great Britain (near  Shirley), West Midlands, England",130,"adult, anthropogenic, begging call, call, hatchling or nestling, song, wingbeats","No modifications made to this recording of a nestling Common Wood Pigeon concealed  in a nest 3 meters up in a Cherry Laurel bush in a suburban garden. Together with one of the adult birds in song and wingbeats as one of the adults flies to the nest.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC668696,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC668696 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/668696/download,./nips/data/XC668696 - Common Wood Pigeon - Columba palumbus palumbus.mp3
295,Common Wood Pigeon (Columba palumbus palumbus),0:36,John Sirrett,2021-08-13,06:30,United Kingdom,"Great Britain (near  Shirley), West Midlands, England",130,"anthropogenic, begging call, hatchling or nestling","No modifications made to this recording of a nestling Common Wood Pigeon concealed  in a nest 3 meters up in a Cherry Laurel bush in a suburban garden.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC668694,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC668694 - Common Wood Pigeon - Columba palumbus palumbus.mp3,/668694/download,./nips/data/XC668694 - Common Wood Pigeon - Columba palumbus palumbus.mp3
296,Common Wood Pigeon (Columba palumbus),0:19,Bernard Collet,2021-08-03,14:00,Belgium,"Brunehaut, Hainaut, Wallonie",30,song,"bird-seen:no
playback-used:no
 [sono]",ABCDE,XC666581,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC666581 - Common Wood Pigeon - Columba palumbus.mp3,/666581/download,./nips/data/XC666581 - Common Wood Pigeon - Columba palumbus.mp3
297,Common Wood Pigeon (Columba palumbus),0:58,Esperanza Poveda,2021-05-10,?,Spain,?,?,"adult, male, song","Posada en la antena de mi casa. cerca de donde vivo hay varias zonas ajardinadas las cuales sustentan poblaciones urbanas de la especie.
bird-seen:no
playback-used:no
 [sono]",ABCDE,XC660866,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,XC660866 - Common Wood Pigeon - Columba palumbus.mp3,/660866/download,./nips/data/XC660866 - Common Wood Pigeon - Columba palumbus.mp3
